Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-10T20:30:00Z,6.4,8.5,172.427764892578,2021,3,10,Quarta,20:30:00,Noite,Verao
2021-03-10T20:45:00Z,6.4,8.4,156.26057434082,2021,3,10,Quarta,20:45:00,Noite,Verao
2021-03-10T21:00:00Z,6.4,8.4,100.006408691406,2021,3,10,Quarta,21:00:00,Noite,Verao
2021-03-10T21:15:00Z,6.4,8.3,153.822326660156,2021,3,10,Quarta,21:15:00,Noite,Verao
2021-03-10T21:30:00Z,6.6,8.2,153.85627746582,2021,3,10,Quarta,21:30:00,Noite,Verao
2021-03-10T21:45:00Z,7.3,8.4,158.739685058594,2021,3,10,Quarta,21:45:00,Noite,Verao
2021-03-10T22:00:00Z,7.7,8.6,188.691635131836,2021,3,10,Quarta,22:00:00,Noite,Verao
2021-03-10T22:15:00Z,8.4,9.1,90.9151382446289,2021,3,10,Quarta,22:15:00,Noite,Verao
2021-03-10T22:30:00Z,8.9,9.7,80.0050811767578,2021,3,10,Quarta,22:30:00,Noite,Verao
2021-03-10T22:45:00Z,9,10.3,136.992828369141,2021,3,10,Quarta,22:45:00,Noite,Verao
2021-03-10T23:00:00Z,8.8,10.4,135.143615722656,2021,3,10,Quarta,23:00:00,Noite,Verao
2021-03-10T23:15:00Z,8.7,10.4,144.937286376953,2021,3,10,Quarta,23:15:00,Noite,Verao
2021-03-10T23:30:00Z,5.7,10.1,77.5241775512695,2021,3,10,Quarta,23:30:00,Noite,Verao
2021-03-10T23:45:00Z,5.7,8.1,192.31852722168,2021,3,10,Quarta,23:45:00,Noite,Verao
2021-03-11T00:00:00Z,6,6.4,169.562744140625,2021,3,11,Quinta,00:00:00,Madrugada,Verao
2021-03-11T00:15:00Z,6.3,6.6,144.935363769531,2021,3,11,Quinta,00:15:00,Madrugada,Verao
2021-03-11T00:30:00Z,6.9,7.1,178.665679931641,2021,3,11,Quinta,00:30:00,Madrugada,Verao
2021-03-11T00:45:00Z,7.5,7.6,156.26057434082,2021,3,11,Quinta,00:45:00,Madrugada,Verao
2021-03-11T01:00:00Z,8.1,8.1,175.451370239258,2021,3,11,Quinta,01:00:00,Madrugada,Verao
